breed, group
affenpinscher, toy
afghan hound, hound
airedale terrier, terrier
akita, working
alaskan malamute, working
american english coonhound, hound
american eskimo dog (miniature), non-sporting
american eskimo dog (standard), non-sporting
american eskimo dog (toy), toy
american foxhound, hound
american hairless terrier, terrier
american leopard hound, fss
american staffordshire terrier, terrier
american water spaniel, sporting
anatolian shepherd dog, working
appenzeller sennenhunde, fss
australian cattle dog, herding
australian shepherd, herding
australian terrier, terrier
azawakh, sighthound (fss?)
barbet, fss
basenji, hound
basset fauve de bretagne, fss
basset hound, hound
bavarian mountain scent hound, ???
beagle, hound
bearded collie, herding
beauceron, herding
bedlington terrier, terrier
belgian laekenois, fss
belgian malinois, herding
belgian sheepdog, herding
belgian tervuren, herding
bergamasco sheepdog, herding
berger picard, herding
bernese mountain dog, working
bichon frise, non-sporting
biewer terrier, fss
black and tan coonhound, hound
black russian terrier, working
bloodhound, hound
bluetick coonhound, hound
boerboel, working
bolognese, fss
border collie, herding
border terrier, terrier
borzoi, hound
boston terrier, non-sporting
bouvier des flandres, herding
boxer, working
boykin spaniel, sporting
briard, herding
brittany, sporting
brussels griffon, toy
bull terrier, terrier
bull terrier (miniature), terrier
bulldog, non-sporting
bullmastiff, working
cairn terrier, terrier
canaan dog, working
cane corso, working
cardigan welsh corgi, herding
cavalier king charles spaniel, toy
cesky terrier, terrier
chesapeake bay retriever, sporting
chihuahua, toy
chinese crested dog, toy
chinese shar pei, non-sporting
chinook, working
chow chow, non-sporting
cirneco dell'etna, hound
clumber spaniel, sporting
cocker spaniel, sporting
collie, herding
coton de tulear, non-sporting
curly-coated retriever, sporting
dachshund, hound
dalmatian, non-sporting
dandie dinmont terrier, terrier
doberman pinscher, working
doque de bordeaux, working
english cocker spaniel, sporting
english foxhound, hound
english setter, sporting
english springer spaniel, sporting
english toy spaniel, toy
entlebucher mountain dog, herding
field spaniel, sporting
finnish lapphund, herding
finnish spitz, non-sporting
flat-coated retriever, sporting
french bulldog, non-sporting
german pinscher, working
german shepherd dog, herding
german shorthaired pointer, sporting
german wirehaired pointer, sporting
giant schnauzer, working
glen of imaal terrier, terrier
golden retriever, sporting
gordon setter, sporting
great dane, working
great pyrenees, working
greater swiss mountain dog, working
greyhound, hound
harrier, hound
havanese, toy
ibizan hound, hound
icelandic sheepdog, herding
irish red and white setter, sporting
irish setter, sporting
irish terrier, terrier
irish water spaniel, sporting
irish wolfhound, hound
itialian greyhound, toy
japanese chin, toy
keeshond, non-sporting
kerry blue terrier, terrier
komondor, working
kuvasz, working
labrador retriever, sporting
lagotto romagnolo, sporting
lakeland terrier, terrier
leonberger, working
lhasa apso, non-sporting
lowchen, non-sporting
maltese, toy
manchester terrier, terrier
mastiff, working
miniature american shepherd, herding
miniature bull terrier, terrier
miniature pinscher, toy
miniature schnauzer, terrier
neapolitan mastiff, working
newfoundland, working
norfolk terrier, terrier
norwegian buhund, herding
norwegian elkhound, hound
norwegian lundehund, non-sporting
norwich terrier, terrier
nova scotia duck-tolling retriever, sporting
old english sheepdog, herding
otterhound, hound
papillon, toy
parson russell terrier, terrier
pekingese, toy
pembroke welsh corgi, herding
petit basset griffon vendeen, hound
pharaoh hound, hound
plott, hound
pointer, sporting
polish lowland sheepdog, herding
pomeranian, toy
poodle, non-sporting
portuguese podengo pequeno, hound
portuguese water dog, working
pug, toy
puli, herding
pumi, herding
pyrenean shepherd, herding
rat terrier, terrier
redbone coonhound, hound
rhodesian ridgeback, hound
rottweiler, working
russel terrier, terrier
st. benard, working
saluki, hound
samoyed, working
schipperke, non-sporting
scottish deerhound, hound
scottish terrier, terrier
sealyham terrier, terrier
shetland sheepdog, herding
shiba inu, non-sporting
shih tzu, toy
siberian husky, working
silky terrier, toy
skye terrier, terrier
sloughi, hound
smooth fox terrier, terrier
soft-coated wheaten terrier, terrier
spanish water dog, herding
spinone italiano, sporting
staffordshire bull terrier, terrier
standard schnauzer, working
sussex spaniel, sporting
swedish valhund, herding
tibetan mastiff, working
tibetan spaniel, non-sporting
tibetan terrier, non-sporting
toy fox terrier, toy
treeing water coonhound, hound
vizsla, sporting
weimaraner, sporting
welsh springer spaniel, sporting
welsh terrier, terrier
west highland white terrier, terrier
whippet, hound
wire fox terrier, terrier
wirehaired pointing griffon, sporting
wirehaired vizsla, sporting
xoloitzcuintli, non-sporting
yorkshire terrier, toy
